date,Rat_education_Kathryn,Rat_education_Theo,Rat_public_Kimber,Rat_office_Jamal,Rat_education_Lee,Rat_education_Kandice,Rat_office_Adele,Rat_office_Lora,Rat_public_Sharron,Rat_public_Joann,Rat_education_Calvin,Rat_public_Allie,Rat_public_Leo,Rat_public_Mark,Rat_assembly_Ezequiel
2016-01-01 00:00:00,567.13,449.42,217.04,644.21,284.52,107.44,624.62,386.11,35.35,13.04,29.53,4.98,20.25,27.7,59.29
2016-01-01 01:00:00,551.65,443.23,222.22,706.46,290.52,105.84,631.24,381.16,34.74,13.09,29.87,5.0,19.57,27.84,60.59
2016-01-01 02:00:00,550.38,447.56,203.79,627.38,292.8,106.95,634.65,390.94,35.27,13.08,29.53,4.92,20.22,27.28,59.95
2016-01-01 03:00:00,553.18,454.45,219.96,623.55,289.89,108.27,643.45,403.66,34.62,13.09,29.9,4.92,19.85,29.05,61.97
2016-01-01 04:00:00,557.38,446.85,222.21,630.18,290.01,104.69,647.8,395.02,34.96,13.11,29.94,4.91,21.15,28.57,59.68
2016-01-01 05:00:00,678.05,464.05,222.91,626.39,296.01,104.19,633.43,534.87,34.43,13.12,30.0,4.95,21.99,29.37,61.51
2016-01-01 06:00:00,691.98,467.44,216.88,744.88,317.46,106.73,682.94,572.5,34.29,13.09,30.4,4.9,21.94,29.2,62.86
2016-01-01 07:00:00,689.95,753.56,211.63,1497.37,545.97,100.65,894.99,598.54,33.26,12.71,30.01,4.91,21.99,29.86,63.69
2016-01-01 08:00:00,694.44,1110.06,221.96,635.05,539.01,100.24,985.07,598.41,27.46,11.85,29.75,4.87,21.91,29.54,63.67
2016-01-01 09:00:00,695.48,1048.57,220.44,631.51,444.48,104.22,972.18,607.06,26.3,10.85,25.15,4.09,19.44,22.36,62.98
2016-01-01 10:00:00,701.36,1009.05,202.28,631.66,362.97,99.11,959.92,594.48,26.97,10.89,26.39,3.49,18.92,21.82,61.25
2016-01-01 11:00:00,706.83,987.66,176.35,636.13,283.8,98.56,912.15,573.76,26.2,10.89,26.66,3.49,18.33,20.18,62.27
2016-01-01 12:00:00,694.31,976.91,186.57,634.68,271.92,99.27,848.6,548.86,26.56,10.66,25.54,3.49,18.55,15.62,61.0
2016-01-01 13:00:00,689.81,951.02,186.22,628.68,273.96,100.34,832.89,547.1,26.11,10.74,25.39,3.58,18.72,17.28,58.75
2016-01-01 14:00:00,696.49,951.27,190.74,631.64,296.16,99.89,819.78,549.19,26.59,10.84,24.52,3.48,17.78,17.76,58.62
2016-01-01 15:00:00,706.69,952.45,186.11,628.9,328.68,99.58,816.55,544.33,26.33,10.73,24.13,3.48,17.3,18.37,58.74
2016-01-01 16:00:00,707.35,969.35,179.23,627.94,348.42,102.87,818.87,561.9,27.04,10.86,24.14,3.74,17.86,18.68,59.73
2016-01-01 17:00:00,704.66,1035.2,199.64,624.8,386.28,116.18,861.19,592.41,26.04,10.84,42.07,3.63,17.51,20.4,60.44
2016-01-01 18:00:00,694.74,1088.54,213.51,630.04,399.06,118.13,872.58,609.58,29.79,12.63,58.94,4.9,19.43,29.38,61.61
2016-01-01 19:00:00,698.19,862.27,222.9,633.06,427.08,118.32,663.71,615.3,35.11,13.23,61.01,4.95,20.67,31.0,63.67
2016-01-01 20:00:00,698.64,555.73,217.19,634.0,427.59,120.5,692.78,470.32,36.28,13.18,61.5,4.93,20.52,33.18,63.69
2016-01-01 21:00:00,668.79,547.37,223.42,636.96,423.63,123.11,648.52,446.85,35.0,13.27,61.55,4.91,20.98,32.64,64.94
2016-01-01 22:00:00,552.5,556.71,229.63,636.56,416.91,121.11,680.1,444.05,34.68,13.26,61.16,4.97,19.9,33.74,65.37
2016-01-01 23:00:00,555.56,506.65,232.77,637.99,316.17,107.8,663.41,434.11,34.63,13.29,30.66,4.89,18.99,33.07,65.0
2016-01-02 00:00:00,557.43,469.29,228.33,640.45,297.51,106.97,672.63,411.48,35.38,13.37,31.33,4.93,19.11,33.67,66.33
2016-01-02 01:00:00,559.47,457.98,225.98,636.85,294.78,107.06,683.12,415.25,34.89,13.44,30.84,4.97,19.48,34.7,65.99
2016-01-02 02:00:00,558.92,468.91,230.29,633.65,296.94,105.74,679.08,412.98,34.78,13.41,31.63,4.89,20.04,34.7,65.41
2016-01-02 03:00:00,560.42,485.59,235.89,631.27,294.63,107.1,703.98,428.72,34.8,13.45,30.69,4.89,19.7,35.41,67.71
2016-01-02 04:00:00,565.56,481.46,234.91,632.04,309.42,107.96,675.19,424.48,34.98,13.54,31.53,4.89,19.76,35.13,66.26
2016-01-02 05:00:00,688.75,477.93,230.77,644.37,312.72,105.66,698.21,439.07,34.42,13.37,31.6,4.88,21.51,35.58,69.09
2016-01-02 06:00:00,706.2,474.15,222.61,634.73,380.97,103.99,696.08,461.89,34.4,13.39,32.13,4.85,21.3,35.3,67.3
2016-01-02 07:00:00,704.94,618.85,229.26,634.92,373.38,100.38,755.24,469.09,32.86,13.06,31.25,4.87,20.98,36.75,68.46
2016-01-02 08:00:00,704.93,1110.95,233.07,635.7,393.03,102.65,704.81,626.2,27.9,11.7,31.2,4.6,20.9,31.56,67.88
2016-01-02 09:00:00,705.03,1052.1,233.18,670.26,397.05,99.51,716.3,595.69,26.96,11.32,27.46,3.49,17.93,28.45,65.93
2016-01-02 10:00:00,706.46,973.77,238.06,635.09,358.56,99.45,657.92,562.57,27.06,15.08,26.63,8.07,17.71,24.9,64.62
2016-01-02 11:00:00,704.37,945.03,220.57,630.38,328.59,99.48,661.81,523.85,27.72,18.89,25.74,8.67,17.06,20.07,64.67
2016-01-02 12:00:00,700.7,934.11,209.41,639.98,369.36,101.2,632.3,514.54,27.61,18.92,26.26,8.31,16.56,16.14,64.98
2016-01-02 13:00:00,691.97,939.1,209.29,641.88,374.13,98.87,643.19,518.12,27.06,18.71,25.35,8.52,16.3,15.26,61.5
2016-01-02 14:00:00,694.35,941.3,206.74,644.72,345.69,100.7,628.07,543.85,27.22,19.04,25.02,8.8,15.91,15.04,61.41
2016-01-02 15:00:00,687.65,923.98,203.53,634.76,294.48,100.37,608.88,573.23,26.94,19.03,25.32,9.1,17.31,13.58,59.08
2016-01-02 16:00:00,688.7,837.65,206.66,633.16,343.08,102.45,582.85,598.52,27.5,19.1,24.51,8.62,15.26,13.26,58.84
2016-01-02 17:00:00,693.29,731.68,200.98,628.51,350.37,119.57,598.56,611.82,26.66,19.0,42.03,7.83,16.2,15.88,61.68
2016-01-02 18:00:00,699.31,761.76,201.73,631.64,331.68,116.28,602.12,457.18,29.57,17.89,59.27,7.28,17.22,26.17,60.75
2016-01-02 19:00:00,700.67,652.4,218.66,628.21,323.82,116.84,623.76,454.57,34.12,13.15,61.82,4.69,18.67,28.79,61.54
2016-01-02 20:00:00,699.88,486.26,216.42,627.89,325.05,120.57,618.94,443.86,34.42,13.03,62.2,4.56,21.12,29.67,61.91
2016-01-02 21:00:00,668.06,494.29,221.82,628.38,331.2,121.44,635.47,447.59,34.4,13.06,62.99,4.57,20.01,31.42,62.4
2016-01-02 22:00:00,551.21,491.82,216.4,632.59,326.07,122.47,652.37,448.12,34.55,13.01,62.38,4.59,20.98,32.15,63.38
2016-01-02 23:00:00,558.13,462.54,224.93,629.67,284.58,107.03,661.2,418.47,35.16,13.08,33.11,4.58,18.51,32.92,63.95
2016-01-03 00:00:00,561.05,480.61,234.22,634.72,295.32,106.0,672.09,401.01,34.44,13.14,33.15,4.57,18.41,33.49,63.44
2016-01-03 01:00:00,560.91,475.49,242.03,633.93,299.25,106.92,660.93,395.64,34.84,13.23,33.6,4.72,18.13,33.5,64.49
2016-01-03 02:00:00,562.74,483.23,241.82,631.99,290.43,106.61,666.81,398.69,34.35,13.33,34.08,4.64,18.46,34.22,65.85
2016-01-03 03:00:00,560.66,488.62,231.32,631.31,296.43,108.97,675.32,401.38,34.7,13.23,34.34,4.64,17.67,35.39,66.21
2016-01-03 04:00:00,564.91,477.37,241.2,631.34,298.74,104.84,679.99,408.28,35.78,13.34,34.43,4.63,18.06,35.07,64.6
2016-01-03 05:00:00,681.26,478.85,238.69,637.3,299.22,103.79,663.42,435.79,36.19,13.35,34.47,4.62,18.21,35.27,66.6
2016-01-03 06:00:00,700.9,485.89,236.61,626.82,373.2,105.99,699.55,440.03,35.03,13.3,34.84,4.57,18.55,36.87,65.88
2016-01-03 07:00:00,699.9,504.34,240.09,634.11,371.49,101.04,724.4,442.98,32.74,12.91,34.78,4.56,17.13,38.48,66.83
2016-01-03 08:00:00,703.8,499.47,224.96,628.84,364.14,99.56,729.43,580.24,27.84,11.41,32.98,4.27,17.25,32.07,67.59
2016-01-03 09:00:00,712.89,486.14,244.23,625.57,357.69,102.06,692.11,579.63,27.79,10.78,30.12,3.17,14.4,29.06,67.12
2016-01-03 10:00:00,720.5,467.76,252.63,631.35,316.08,98.29,655.79,525.48,26.83,10.68,28.92,3.13,14.1,25.33,63.65
