date,Fox_lodging_Helen,Fox_education_Andre,Fox_assembly_Tony,Fox_education_Claire,Fox_education_Ray,Fox_office_Thelma,Fox_office_Karima,Fox_office_Clayton,Fox_education_Yolande,Fox_office_Edythe,Fox_education_Ollie,Fox_assembly_Audrey,Fox_assembly_Sheldon,Fox_lodging_Stephen,Fox_education_Eddy
2016-01-01 00:00:00,296.72,463.8,49.34,69.66,74.52,115.05,25.92,28.1,468.71,91.85,77.61,14.41,46.88,58.52,209.67
2016-01-01 01:00:00,302.08,440.84,48.82,69.45,76.31,127.47,25.54,26.57,467.16,89.92,75.83,14.22,47.95,60.17,208.9
2016-01-01 02:00:00,300.0,425.25,48.7,69.71,76.92,123.65,25.47,25.73,466.5,87.66,80.57,14.58,48.03,59.35,419.5
2016-01-01 03:00:00,304.93,427.84,49.06,69.35,77.76,128.58,25.75,25.96,461.72,88.68,81.53,14.5,47.32,59.44,474.4
2016-01-01 04:00:00,297.5,438.37,49.04,69.18,76.84,138.59,25.85,25.59,461.32,88.0,83.55,14.44,46.12,58.23,438.47
2016-01-01 05:00:00,295.37,434.18,72.66,69.11,78.59,138.92,41.81,26.31,459.76,89.1,84.29,14.21,77.74,58.7,432.8
2016-01-01 06:00:00,294.92,472.21,90.64,68.96,78.94,136.42,50.59,29.92,469.25,88.12,83.89,14.51,132.8,58.41,433.36
2016-01-01 07:00:00,290.88,438.75,92.63,68.97,79.43,142.44,51.81,29.62,475.09,88.79,85.53,14.19,132.48,57.4,440.94
2016-01-01 08:00:00,290.85,449.74,89.79,66.35,76.94,135.82,47.9,24.2,475.09,84.18,88.33,13.86,132.1,54.28,426.48
2016-01-01 09:00:00,272.32,454.86,88.5,66.35,69.71,129.36,49.59,23.6,468.65,84.85,90.4,14.07,137.84,54.99,410.4
2016-01-01 10:00:00,245.2,458.77,88.23,66.66,61.9,107.24,56.62,23.14,478.61,84.71,87.04,14.02,135.82,54.91,401.55
2016-01-01 11:00:00,234.35,476.68,90.73,66.79,57.68,104.83,63.35,23.66,486.64,85.15,79.38,14.13,135.81,54.87,372.87
2016-01-01 12:00:00,229.12,480.83,90.62,67.26,52.92,106.02,70.23,23.82,489.17,84.87,61.99,13.65,145.15,57.68,349.36
2016-01-01 13:00:00,237.37,471.73,90.44,67.36,50.6,96.38,77.55,23.59,503.09,85.78,47.99,14.04,150.6,55.25,368.38
2016-01-01 14:00:00,247.77,481.19,89.15,67.17,50.78,92.71,78.93,23.44,502.49,86.02,62.98,13.97,152.33,55.42,371.75
2016-01-01 15:00:00,254.32,488.0,89.15,67.3,47.81,85.11,79.23,23.21,498.25,86.21,76.16,13.94,152.32,57.14,383.24
2016-01-01 16:00:00,290.33,500.43,87.22,67.0,51.07,79.86,79.6,23.78,505.74,86.26,81.25,14.09,145.64,57.59,392.53
2016-01-01 17:00:00,308.97,502.62,85.5,67.73,56.12,79.2,67.06,24.96,501.8,93.63,80.77,14.1,141.11,62.98,407.47
2016-01-01 18:00:00,311.68,511.72,97.18,70.05,57.86,87.3,25.47,28.98,499.51,100.1,78.51,14.34,116.87,62.0,408.47
2016-01-01 19:00:00,309.87,522.69,96.74,69.88,57.73,88.83,26.08,29.13,498.08,90.41,77.71,14.08,113.48,69.98,416.72
2016-01-01 20:00:00,311.9,476.09,94.08,70.15,60.64,100.54,25.34,29.07,488.35,90.53,84.87,14.49,97.65,61.57,402.46
2016-01-01 21:00:00,311.43,455.9,93.29,70.03,64.58,104.16,25.39,29.04,481.43,88.27,85.56,14.53,65.12,59.18,419.42
2016-01-01 22:00:00,312.17,447.12,69.56,69.83,64.34,101.92,25.25,29.04,476.89,91.47,85.82,14.44,52.13,60.85,306.2
2016-01-01 23:00:00,300.43,459.85,57.81,69.94,66.25,108.63,25.67,28.99,477.35,90.29,85.18,14.41,46.18,62.82,191.04
2016-01-02 00:00:00,295.03,446.72,48.71,70.05,66.68,103.32,25.53,27.65,472.04,94.7,85.95,14.18,45.86,59.74,197.53
2016-01-02 01:00:00,293.58,457.91,48.73,70.11,63.68,105.53,25.24,26.4,460.24,96.18,85.58,14.53,46.31,60.7,191.87
2016-01-02 02:00:00,299.08,440.79,48.84,70.05,68.18,108.02,25.41,25.84,459.83,97.0,85.44,14.48,46.08,60.29,185.82
2016-01-02 03:00:00,293.57,448.58,48.92,70.05,69.42,99.63,25.36,25.85,464.56,96.92,81.32,14.48,47.28,59.35,185.58
2016-01-02 04:00:00,294.32,442.83,49.04,69.81,65.96,115.24,25.56,25.86,464.54,97.04,78.39,14.5,47.39,60.32,411.1
2016-01-02 05:00:00,292.43,448.4,48.91,69.84,68.69,108.14,25.31,34.02,464.3,97.5,87.31,14.47,75.25,58.77,471.62
2016-01-02 06:00:00,293.13,444.46,74.02,69.6,70.12,111.66,25.95,39.16,473.89,97.43,89.44,14.48,135.91,58.26,433.74
2016-01-02 07:00:00,290.87,434.23,80.09,70.08,70.99,120.31,42.95,39.08,479.68,95.13,91.51,14.29,134.0,57.94,426.54
2016-01-02 08:00:00,292.33,453.63,79.77,67.65,64.8,101.49,57.69,33.77,481.56,90.6,93.03,14.05,136.3,54.9,420.28
2016-01-02 09:00:00,266.32,472.99,88.53,67.98,57.83,94.5,67.03,33.23,487.57,92.12,98.41,14.18,136.15,55.37,397.76
2016-01-02 10:00:00,237.2,493.71,87.26,68.22,51.4,88.24,75.63,35.03,493.97,90.63,103.56,14.04,137.3,55.33,389.92
2016-01-02 11:00:00,228.07,494.72,91.01,67.98,49.49,78.59,79.01,34.92,493.67,88.3,105.34,13.92,140.72,57.18,356.98
2016-01-02 12:00:00,226.33,483.83,101.78,68.62,48.56,85.34,80.14,34.9,495.36,91.63,103.06,14.04,147.5,61.9,351.65
2016-01-02 13:00:00,243.0,467.46,104.65,69.27,45.84,78.08,80.02,42.71,501.51,91.49,98.55,14.06,148.98,59.49,349.5
2016-01-02 14:00:00,249.18,482.6,102.92,68.7,44.83,77.64,80.05,48.4,506.96,91.51,96.1,14.01,146.95,68.36,364.6
2016-01-02 15:00:00,262.82,498.82,102.52,69.18,44.52,77.84,80.07,44.49,517.59,90.85,94.82,13.9,131.45,60.19,370.92
2016-01-02 16:00:00,305.9,484.74,102.95,68.47,46.17,71.65,68.36,48.93,508.52,91.88,94.14,13.74,118.04,66.85,390.96
2016-01-02 17:00:00,315.53,477.85,105.47,70.56,48.35,72.5,22.17,42.61,513.11,92.49,93.96,13.85,114.69,66.04,391.13
2016-01-02 18:00:00,313.67,480.06,103.36,71.99,53.97,80.23,25.44,39.17,504.41,96.66,95.48,14.35,112.87,71.84,406.92
2016-01-02 19:00:00,311.67,474.97,96.29,72.61,56.72,85.68,25.35,39.21,499.68,97.23,94.11,14.39,112.24,72.46,404.81
2016-01-02 20:00:00,312.18,487.59,82.63,72.04,56.04,88.43,26.63,39.14,490.43,97.74,92.67,14.34,96.93,64.45,414.42
2016-01-02 21:00:00,313.05,497.8,74.6,70.72,55.72,89.27,26.3,39.18,487.14,97.35,90.03,14.35,46.11,63.77,409.4
2016-01-02 22:00:00,306.52,476.0,54.71,70.15,59.22,90.01,25.05,39.21,477.44,97.88,81.43,14.22,41.65,65.59,310.7
2016-01-02 23:00:00,297.78,474.14,49.21,70.24,62.82,95.28,25.51,36.8,476.62,96.73,76.39,14.03,41.68,63.77,192.62
2016-01-03 00:00:00,296.87,452.41,48.8,70.29,61.77,95.28,25.17,27.79,480.07,96.54,77.54,14.47,41.0,61.29,201.96
2016-01-03 01:00:00,298.15,469.65,48.52,70.58,61.05,96.21,25.2,26.81,473.07,99.98,77.47,14.44,40.82,61.58,199.94
2016-01-03 02:00:00,296.67,453.2,48.75,71.12,64.88,97.79,25.45,26.33,474.4,99.13,77.83,14.49,41.9,60.91,185.52
2016-01-03 03:00:00,297.38,463.95,48.6,70.53,60.69,93.15,25.57,26.19,471.83,98.86,78.65,14.24,40.92,61.11,182.45
2016-01-03 04:00:00,293.58,466.92,48.94,70.51,64.42,98.84,25.57,26.14,470.91,98.98,77.74,14.02,40.64,59.79,411.21
2016-01-03 05:00:00,288.62,436.97,48.95,70.53,61.13,98.43,25.41,34.2,470.78,98.27,86.18,14.39,54.48,60.14,465.03
2016-01-03 06:00:00,291.32,434.26,49.18,70.87,64.93,94.34,25.1,39.22,475.92,99.07,91.19,14.47,104.83,58.8,428.24
2016-01-03 07:00:00,289.85,458.84,47.29,70.77,64.22,95.63,49.11,38.98,484.46,101.12,93.04,14.34,121.07,58.12,421.56
2016-01-03 08:00:00,290.05,466.76,43.69,67.78,60.56,97.91,68.7,33.7,485.27,100.95,94.98,14.06,123.62,55.42,406.47
2016-01-03 09:00:00,277.75,455.44,42.8,67.28,55.89,85.5,75.07,32.98,480.1,102.96,96.51,13.8,127.83,57.1,392.59
2016-01-03 10:00:00,252.57,483.18,68.37,67.26,50.41,83.33,79.43,34.58,500.07,97.95,99.17,13.55,136.53,57.56,380.74
2016-01-03 11:00:00,237.3,467.82,74.28,67.49,45.4,79.19,80.37,39.86,503.87,99.43,104.48,14.04,135.59,57.3,347.69
2016-01-03 12:00:00,229.57,474.75,81.05,67.36,44.04,77.31,80.6,45.31,509.35,99.65,103.65,14.03,115.24,57.91,329.99
2016-01-03 13:00:00,243.6,451.04,95.64,67.91,42.76,76.62,81.03,47.98,515.13,99.44,102.44,13.95,115.61,57.42,347.65
2016-01-03 14:00:00,272.72,479.71,97.54,67.72,41.4,70.89,81.34,50.4,510.51,97.19,104.87,13.95,121.79,59.62,360.19
2016-01-03 15:00:00,295.95,483.6,99.56,67.6,43.38,71.22,81.01,54.31,509.06,98.47,100.33,13.97,113.38,68.27,377.92
2016-01-03 16:00:00,311.95,490.0,98.23,67.87,44.55,70.41,68.07,58.6,502.45,99.11,97.95,14.07,112.22,59.95,383.64
2016-01-03 17:00:00,315.32,508.01,99.76,69.1,49.02,73.92,22.76,52.73,498.0,95.62,95.72,14.02,111.32,61.98,394.24
2016-01-03 18:00:00,318.72,497.41,109.64,69.96,49.76,80.44,25.18,53.79,501.85,97.04,94.54,14.22,115.31,74.78,393.53
2016-01-03 19:00:00,313.87,502.71,109.74,70.25,50.84,80.94,25.55,51.66,499.34,96.63,93.1,14.37,115.64,68.18,407.23
2016-01-03 20:00:00,311.25,489.85,112.72,70.2,50.9,80.8,25.15,49.98,496.9,96.64,93.11,14.46,105.71,62.49,247.88
2016-01-03 21:00:00,319.85,486.16,112.57,70.04,52.83,83.5,25.81,58.0,490.25,97.62,94.65,14.1,46.79,68.93,197.1
2016-01-03 22:00:00,320.53,468.8,87.01,69.88,52.6,81.49,25.08,63.77,484.56,97.24,85.62,14.37,48.59,63.09,199.45
2016-01-03 23:00:00,298.55,450.77,66.8,70.28,53.67,81.5,24.96,56.27,486.14,97.53,82.45,14.45,47.66,64.73,202.65
2016-01-04 00:00:00,295.07,459.33,58.64,70.78,52.98,82.41,25.12,36.77,481.47,97.48,83.54,14.5,46.43,63.14,204.45
2016-01-04 01:00:00,296.52,490.65,58.56,71.13,52.5,83.2,25.39,36.38,476.1,97.36,82.24,14.51,46.11,63.31,199.09
2016-01-04 02:00:00,294.3,456.37,58.58,71.14,51.75,85.61,24.93,35.37,474.73,96.4,83.07,14.46,46.13,61.05,397.91
2016-01-04 03:00:00,292.63,438.76,58.24,70.19,53.91,101.87,66.04,26.65,475.18,99.38,83.97,14.4,46.43,72.3,439.95
2016-01-04 04:00:00,291.33,451.0,58.91,70.27,54.8,116.83,82.17,25.32,473.95,102.77,83.88,14.37,46.88,62.37,405.71
2016-01-04 05:00:00,289.15,478.8,76.06,69.72,55.67,118.75,83.3,35.51,475.19,108.06,93.29,14.44,60.14,57.66,407.75
2016-01-04 06:00:00,288.93,456.64,92.86,74.36,58.79,119.9,83.75,43.46,483.45,117.25,96.88,15.73,93.08,59.2,405.01
2016-01-04 07:00:00,294.2,464.7,95.88,79.81,63.86,128.19,86.14,46.19,509.4,120.61,91.37,16.04,91.99,56.99,392.12
2016-01-04 08:00:00,301.35,511.5,97.55,82.35,63.2,161.93,88.57,55.01,529.46,121.47,93.84,15.8,93.85,54.67,421.81
2016-01-04 09:00:00,303.4,522.34,98.44,87.94,60.96,172.45,92.95,71.57,555.71,124.83,98.09,16.14,99.68,54.54,417.63
2016-01-04 10:00:00,297.6,557.98,100.36,92.21,61.38,172.65,97.44,72.66,608.51,131.18,103.35,17.47,110.39,56.87,413.79
