date,Panther_retail_Lester,Panther_lodging_Kirk,Panther_office_Clementine,Panther_education_Misty,Panther_education_Violet,Panther_education_Cleopatra,Panther_lodging_Willa,Panther_education_Scarlett,Panther_education_Sophia,Panther_education_Emily,Panther_parking_Mellissa,Panther_education_Mohammad,Panther_lodging_Cora,Panther_education_Edna,Panther_lodging_Kara
2016-01-01 00:00:00,15.603,9.7519,15.363,10.322,37.1272,1.4003,25.6049,0.02,34.4067,20.4039,5.121,26.9592,20.554,21.004,29.6057
2016-01-01 01:00:00,15.723,9.7519,15.363,10.322,37.1272,1.4003,25.6049,0.02,34.4067,20.4039,5.121,26.9592,20.554,21.004,29.6057
2016-01-01 02:00:00,16.0831,9.7519,15.363,10.322,37.1272,1.4003,25.6049,0.02,34.4067,20.4039,5.121,26.9592,20.554,21.004,29.6057
2016-01-01 03:00:00,15.723,9.7519,15.363,10.322,37.1272,1.4003,25.6049,0.02,34.4067,20.4039,5.121,26.9592,20.554,21.004,29.6057
2016-01-01 04:00:00,15.723,9.7519,15.363,10.322,37.1272,1.4003,25.6049,0.02,34.4067,20.4039,5.121,26.9592,20.554,21.004,29.6057
2016-01-01 05:00:00,15.9631,9.7519,0.4391,10.322,37.1272,1.4003,25.6049,0.02,34.4067,20.4039,5.121,26.9592,20.554,21.004,29.6057
2016-01-01 06:00:00,15.603,9.7519,0.4391,10.322,37.1272,1.4003,25.6049,0.02,34.4067,20.4039,5.121,26.9592,20.554,21.004,29.6057
2016-01-01 07:00:00,15.603,12.9025,0.4391,10.322,37.1272,1.4003,25.6049,0.02,34.4067,20.4039,5.121,26.9592,20.554,21.004,29.6057
2016-01-01 08:00:00,15.603,12.9025,0.4391,10.322,37.1272,1.4003,25.6049,0.02,34.4067,20.4039,5.121,26.9592,20.554,21.004,29.6057
2016-01-01 09:00:00,15.8431,12.9025,0.4391,10.322,37.1272,1.4003,25.6049,0.02,34.4067,20.4039,5.121,24.9648,20.554,21.004,29.6057
2016-01-01 10:00:00,15.363,12.9025,0.4391,10.322,37.1272,1.4003,25.6049,0.02,34.4067,20.4039,5.121,24.9648,20.554,21.004,29.6057
2016-01-01 11:00:00,16.8033,18.0035,0.4391,10.322,37.1272,1.4003,25.6049,0.02,34.4067,20.4039,5.121,24.9648,20.554,21.004,29.6057
2016-01-01 12:00:00,16.9233,18.0035,0.4391,10.322,37.1272,1.4003,25.6049,0.02,34.4067,20.4039,5.121,24.9648,20.554,21.004,29.6057
2016-01-01 13:00:00,18.1235,18.0035,0.4391,10.322,37.1272,1.4003,25.6049,0.02,34.4067,20.4039,5.121,24.9648,20.554,21.004,29.6057
2016-01-01 14:00:00,18.3635,18.0035,0.4391,10.322,37.1272,1.4003,25.6049,0.02,34.4067,20.4039,5.121,24.9648,20.554,21.004,29.6057
2016-01-01 15:00:00,17.8835,18.0035,0.4391,10.322,37.1272,1.4003,25.6049,0.02,34.4067,20.4039,5.121,24.9648,20.554,21.004,29.6057
2016-01-01 16:00:00,17.5234,18.0035,0.4391,10.322,37.1272,1.4003,25.6049,0.02,34.4067,20.4039,5.121,24.9648,20.554,21.004,29.6057
2016-01-01 17:00:00,17.2833,18.0035,0.4391,10.322,37.1272,1.4003,25.6049,0.02,34.4067,20.4039,5.121,24.9648,20.554,21.004,29.6057
2016-01-01 18:00:00,17.0433,18.0035,0.4391,10.322,37.1272,1.4003,25.6049,0.02,34.4067,20.4039,5.121,24.9648,20.554,21.004,29.6057
2016-01-01 19:00:00,16.5632,18.0035,16.5632,10.322,37.1272,1.4003,25.6049,0.02,34.4067,20.4039,5.121,24.9648,20.554,21.004,29.6057
2016-01-01 20:00:00,16.3231,18.0035,16.5632,10.322,36.487,1.4003,25.6049,0.02,34.4067,20.4039,5.121,24.9648,20.554,21.004,29.6057
2016-01-01 21:00:00,15.9631,18.0035,16.5632,10.322,36.487,1.4003,25.6049,0.02,34.4067,20.4039,5.121,24.9648,20.554,21.004,29.6057
2016-01-01 22:00:00,15.8431,18.0035,16.5632,10.322,36.487,1.4003,25.6049,0.02,34.4067,20.4039,5.121,24.9648,20.554,21.004,29.6057
