date,Rat_education_Jeanne,Rat_education_Donnell,Rat_education_Matt,Rat_education_Alyson,Rat_education_Willy,Rat_education_Susana,Rat_public_Maxine,Rat_lodging_Lucille,Rat_office_Ashlee,Rat_education_Cinthia,Rat_education_Dianne,Rat_office_Chris,Rat_public_Lea,Rat_education_Gricelda,Rat_lodging_Lakisha
2016-01-01 00:00:00,44.35,59.73,67.65,54.6,63.04,19.2,100.38,3.0,39.02,32.05,129.79,675.84,89.34,14.22,1.84
2016-01-01 01:00:00,44.35,54.36,68.13,54.39,63.27,19.2,106.93,2.52,37.74,32.57,129.82,670.8,89.54,14.22,2.4
2016-01-01 02:00:00,44.35,54.82,67.82,54.86,63.36,19.2,101.54,2.28,39.2,32.8,128.01,673.98,90.62,14.22,2.52
2016-01-01 03:00:00,44.35,55.45,67.59,54.33,63.33,19.2,101.46,2.28,37.93,33.92,123.15,673.68,90.92,14.22,2.84
2016-01-01 04:00:00,44.35,52.95,67.08,55.17,63.45,19.2,105.52,2.32,38.62,35.58,130.57,669.42,90.81,14.22,1.96
2016-01-01 05:00:00,44.35,54.74,67.11,56.78,63.61,19.2,109.39,1.52,37.23,38.53,138.22,667.08,92.34,14.22,1.6
2016-01-01 06:00:00,44.35,58.52,66.61,55.52,64.77,19.2,108.57,1.44,38.36,37.93,138.17,675.84,91.65,14.22,1.6
2016-01-01 07:00:00,44.35,58.28,67.01,55.73,64.09,19.2,108.96,1.4,37.41,36.13,133.83,669.96,90.97,14.22,1.84
2016-01-01 08:00:00,44.35,56.94,66.17,54.87,62.64,19.2,109.93,1.52,37.87,35.13,133.23,663.78,85.99,14.22,1.64
2016-01-01 09:00:00,44.35,56.59,66.35,55.03,61.4,19.2,107.16,1.64,37.03,34.37,140.25,677.04,70.62,14.22,1.72
2016-01-01 10:00:00,44.35,53.75,65.59,54.1,58.92,19.2,111.25,1.52,36.95,34.23,137.45,675.6,71.97,14.22,1.8
2016-01-01 11:00:00,44.35,57.58,65.52,55.84,58.25,19.2,106.53,1.44,37.44,34.13,140.04,671.04,71.32,14.22,1.88
2016-01-01 12:00:00,44.35,55.91,64.74,55.49,59.97,19.2,104.06,1.48,36.4,34.94,128.52,675.0,71.7,14.22,2.08
2016-01-01 13:00:00,44.35,55.59,64.69,56.03,59.18,19.2,107.92,1.68,37.7,33.92,131.59,677.4,70.71,14.22,1.96
2016-01-01 14:00:00,44.35,56.76,65.73,56.24,56.84,19.2,105.75,1.76,36.24,33.86,126.39,673.44,69.82,14.22,1.44
2016-01-01 15:00:00,44.35,53.47,67.08,56.57,56.85,19.2,101.84,1.64,37.61,33.72,120.19,674.28,70.47,14.22,1.92
2016-01-01 16:00:00,44.35,56.03,67.36,56.32,56.98,19.2,104.67,1.72,36.47,33.33,132.28,674.88,68.8,14.22,2.16
2016-01-01 17:00:00,44.35,51.36,67.18,55.29,57.7,19.2,108.7,1.64,37.15,56.73,122.32,673.08,69.55,14.22,2.2
2016-01-01 18:00:00,44.35,53.97,67.6,55.3,62.84,19.2,106.56,1.72,37.55,74.8,125.4,667.62,87.93,14.22,1.92
2016-01-01 19:00:00,44.35,52.88,68.41,56.7,62.9,19.2,107.83,1.88,37.16,76.15,135.41,672.12,91.17,14.22,2.36
